ID,Name,City,Phone,Email (to find),Website,Counties Served,Services,Directory URL,Outreach Status,Notes,Created
"76df9f86-499f-45a8-910d-00f6a2069bed","Best CareLiberty","BullochHinesville","(912) 977-0674","","","Bryan; Chatham; Evans; Glynn; Long; McIntosh; Tattnall","RN; LPN","https://georgiagapp.com/provider/best-careliberty","Not Started","","12/22/2025"
"93a03b43-f66f-4dcd-b347-c1ae1fc45b44","GordonAll Ways Caring Home CareClayton","WaltonAtlanta","(678) 795-9923","","","Bartow; Cherokee; Cobb; Dawson; DeKalb; Douglas; Floyd; Fulton; Gwinnett; Hall; Haralson; Jackson; Lumpkin; Meriwether; Monroe; Oconee; Paulding; Pickens; Pike; Polk; Rockdale; Spalding; Troup; Upson","RN; LPN","https://georgiagapp.com/provider/gordonall-ways-caring-home-careclayton","Not Started","","12/22/2025"
"a290b489-76c5-480f-84df-5514a8efac13","Aveanna HealthcareAppling","Savannah","(912) 961-1017","","","Atkinson; Bacon; Baldwin; Ben Hill; Berrien; Bleckley; Brantley; Bryan; Bulloch; Burke; Camden; Charlton; Chatham; Clarke; Clinch; Coffee; Dodge","RN; LPN","https://georgiagapp.com/provider/aveanna-healthcareappling","Not Started","","12/22/2025"
"03b2bb8d-574f-4b4c-86d7-79617d22b232","Omni Healthcare ServicesCarroll","Douglasville","(678) 637-6249","","","Bartow; Butts; Cherokee; Clayton; Cobb; DeKalb; Douglas; Fayette; Floyd; Forsyth; Fulton; Gwinnett; Hall; Haralson; Harris; Heard; Paulding","RN; LPN","https://georgiagapp.com/provider/omni-healthcare-servicescarroll","Not Started","","12/22/2025"
"e4815c36-d9b0-41f7-93ab-e4ee599c0730","Aveanna HealthcareHear","Columbus","(706) 322-3693","","","Baker; Calhoun; Early; Harris; Marion; Meriwether; Muscogee; Randolph; Schley; Stewart; Terrell; Troup; Webster","RN; LPN","https://georgiagapp.com/provider/aveanna-healthcarehear","Not Started","","12/22/2025"
"7d542882-3001-4bab-9347-6e06a91b8348","Thrive Skilled Pediatric CareClayton","Marietta","(470) 381-1323","","","Bartow; Bleckley; Bryan; Bulloch; Butts; Candler; Chatham; Cherokee; Clayton; Cobb; Crawford; DeKalb; Dodge; Dooly; Douglas; Effingham; Emanuel; Evans; Fayette; Forsyth; Fulton; Hall; Haralson; Henry; Houston; Jasper; Jones; Laurens; Liberty; Long; McIntosh; Monroe; Paulding; Peach; Pickens; Polk; Pulaski; Putnam; Rockdale; Spalding; Twiggs; Walton","RN; LPN","https://georgiagapp.com/provider/thrive-skilled-pediatric-careclayton","Not Started","","12/22/2025"
"be9247da-3163-4d8d-a187-c526bc0fd0d1","WilkinsonAveanna HealthcareAppling","Macon","(478) 841-2772","","","Atkinson; Bacon; Baker; Baldwin; Ben Hill; Berrien; Bibb; Bleckley; Brantley; Brooks; Bryan; Bulloch; Burke; Butts; Camden; Charlton; Chatham; Chattahoochee; Clarke; Clinch; Coffee; Colquitt; Columbia; Cook; Crawford; Decatur; Dodge; Echols; Effingham; Elbert; Emanuel; Evans; Floyd; Forsyth; Glascock; Glynn; Greene; Irwin; Jackson; Jeff Davis; Jefferson; Jenkins; Johnson; Jones; Lanier; Laurens; Liberty; Lincoln; Long; Lowndes; Macon; Madison; McDuffie; McIntosh; Montgomery; Oglethorpe; Pierce; Pulaski; Putnam; Richmond; Screven; Tattnall; Telfair; Tift; Toombs; Treutlen; Twiggs; Walton; Ware; Warren; Washington; Wayne; Wheeler; Wilcox","RN; LPN","https://georgiagapp.com/provider/wilkinsonaveanna-healthcareappling","Not Started","","12/22/2025"
"4852d31a-42c3-4927-9b97-b4ecb73888a2","BibbHealthcareGwinnett","CherokeeLawrenceville","(404) 692-3741","","","Barrow; Bartow; Butts; Carroll; Cherokee; Clarke; Clayton; Cobb; Coweta; DeKalb; Elbert; Floyd; Fulton; Gordon; Hall; Haralson; Heard; Henry; Jackson; Jasper; Lamar; Madison; Meriwether; Monroe; Morgan; Newton; Oconee; Oglethorpe; Paulding; Pike; Polk; Rockdale; Spalding; Troup; Upson; Walton","RN; LPN","https://georgiagapp.com/provider/bibbhealthcaregwinnett","Not Started","","12/22/2025"
"969add7c-2d35-4bde-adc3-ad92d53a0c49","RayRac HealthcareFulton","HenryDouglasville","(678) 594-3377","","","Cobb; DeKalb; Douglas; Gwinnett; Paulding","RN; LPN","https://georgiagapp.com/provider/rayrac-healthcarefulton","Not Started","","12/22/2025"
"594ae8cf-06bb-4fb2-9896-354fbe76805f","LowndesA Premium Healthcare SolutionHenry","Conyers","(678) 609-5060","","","Barrow; Berrien; Brooks; Bryan; Camden; Chatham; Clarke; Clayton; Clinch; Coweta; Decatur; DeKalb; Echols; Effingham; Fayette; Fulton; Glascock; Glynn; Grady; Greene; Gwinnett; Lamar; Lanier; Liberty; Long; McIntosh; Meriwether; Montgomery; Morgan; Newton; Oconee; Oglethorpe; Pike; Rockdale; Seminole; Spalding; Telfair; Thomas; Treutlen; Walton","RN; LPN","https://georgiagapp.com/provider/lowndesa-premium-healthcare-solutionhenry","Not Started","","12/22/2025"
